1/2-SBSRNA4 	 0
A1BG 	 0
A1BG-AS1 	 0
A1CF 	 0
A2LD1 	 0
A2M 	 0
A2ML1 	 0
A2MP1 	 0
A4GALT 	 0
A4GNT 	 0
AA06 	 0
AAA1 	 0
AAAS 	 0
AACS 	 20
AACSP1 	 0
AADAC 	 0
AADACL2 	 0
AADACL3 	 0
AADACL4 	 0
AADAT 	 142
AAGAB 	 33
AAK1 	 59
AAMP 	 2
AANAT 	 0
AARS 	 23
AARS2 	 7
AARSD1 	 0
AASDH 	 0
AASDHPPT 	 61
AASS 	 727
AATF 	 0
AATK 	 7
AATK-AS1 	 0
ABAT 	 210
ABCA1 	 253
ABCA10 	 11
ABCA11P 	 4
ABCA12 	 0
ABCA13 	 0
ABCA17P 	 53
ABCA2 	 8
ABCA3 	 2
ABCA4 	 0
ABCA5 	 59
ABCA6 	 0
ABCA7 	 5
ABCA8 	 48
ABCA9 	 50
ABCB1 	 0
ABCB10 	 0
ABCB11 	 0
ABCB4 	 0
ABCB5 	 0
ABCB6 	 0
ABCB7 	 0
ABCB8 	 0
ABCB9 	 1
ABCC1 	 23
ABCC10 	 0
ABCC11 	 0
ABCC12 	 0
ABCC13 	 2
ABCC2 	 0
ABCC3 	 0
ABCC4 	 0
ABCC5 	 274
ABCC6 	 0
ABCC6P1 	 0
ABCC6P2 	 0
ABCC8 	 16
ABCC9 	 0
ABCD1 	 0
ABCD2 	 0
ABCD3 	 65
ABCD4 	 0
ABCE1 	 447
ABCF1 	 0
ABCF2 	 0
ABCF3 	 0
ABCG1 	 117
ABCG2 	 0
ABCG4 	 3
ABCG5 	 0
ABCG8 	 0
ABHD1 	 8
ABHD10 	 4
ABHD11 	 1
ABHD11-AS1 	 0
ABHD12 	 0
ABHD12B 	 0
ABHD13 	 0
ABHD14A 	 30
ABHD14A-ACY1 	 0
ABHD14B 	 0
ABHD15 	 0
ABHD16A 	 0
ABHD16B 	 0
ABHD2 	 0
ABHD3 	 18
ABHD4 	 0
ABHD5 	 29
ABHD6 	 76
ABHD8 	 0
ABI1 	 0
ABI2 	 102
ABI3 	 0
ABI3BP 	 0
ABL1 	 49
ABL2 	 0
ABLIM1 	 27
ABLIM2 	 0
ABLIM3 	 0
ABO 	 3
ABP1 	 0
ABR 	 9
ABRA 	 0
ABT1 	 0
ABTB1 	 0
ABTB2 	 30
ACAA1 	 4
ACAA2 	 0
ACACA 	 128
ACACB 	 58
ACAD10 	 0
ACAD11 	 0
ACAD8 	 0
ACAD9 	 6
ACADL 	 0
ACADM 	 14
ACADS 	 0
ACADSB 	 0
ACADVL 	 31
ACAN 	 0
ACAP1 	 0
ACAP2 	 44
ACAP3 	 20
ACAT1 	 61
ACAT2 	 43
ACBD3 	 6
ACBD4 	 0
ACBD5 	 16
ACBD6 	 7
ACBD7 	 0
ACCN1 	 0
ACCN2 	 6
ACCN3 	 0
ACCN4 	 0
ACCN5 	 0
ACCS 	 0
ACCSL 	 0
ACD 	 0
ACE 	 0
ACE2 	 0
ACER1 	 0
ACER2 	 0
ACER3 	 0
ACHE 	 0
ACIN1 	 28
ACLY 	 103
ACMSD 	 0
ACN9 	 74
ACO1 	 1
ACO2 	 48
ACOT1 	 13
ACOT11 	 0
ACOT12 	 0
ACOT13 	 0
ACOT2 	 32
ACOT4 	 0
ACOT6 	 0
ACOT7 	 1
ACOT8 	 46
ACOT9 	 0
