1/2-SBSRNA4 	 0
A1BG 	 0
A1BG-AS1 	 0
A1CF 	 0
A2LD1 	 1
A2M 	 0
A2ML1 	 49
A2MP1 	 0
A4GALT 	 0
A4GNT 	 1
AA06 	 0
AAA1 	 0
AAAS 	 0
AACS 	 2
AACSP1 	 0
AADAC 	 0
AADACL2 	 1
AADACL3 	 0
AADACL4 	 0
AADAT 	 3
AAGAB 	 0
AAK1 	 65
AAMP 	 0
AANAT 	 0
AARS 	 23
AARS2 	 13
AARSD1 	 99
AASDH 	 3
AASDHPPT 	 52
AASS 	 0
AATF 	 0
AATK 	 3
AATK-AS1 	 0
ABAT 	 61
ABCA1 	 0
ABCA10 	 14
ABCA11P 	 0
ABCA12 	 1
ABCA13 	 1
ABCA17P 	 0
ABCA2 	 0
ABCA3 	 0
ABCA4 	 0
ABCA5 	 287
ABCA6 	 30
ABCA7 	 0
ABCA8 	 0
ABCA9 	 12
ABCB1 	 0
ABCB10 	 0
ABCB11 	 0
ABCB4 	 0
ABCB5 	 1
ABCB6 	 0
ABCB7 	 0
ABCB8 	 0
ABCB9 	 0
ABCC1 	 0
ABCC10 	 0
ABCC11 	 0
ABCC12 	 0
ABCC13 	 0
ABCC2 	 0
ABCC3 	 0
ABCC4 	 0
ABCC5 	 415
ABCC6 	 0
ABCC6P1 	 0
ABCC6P2 	 0
ABCC8 	 6
ABCC9 	 0
ABCD1 	 0
ABCD2 	 1
ABCD3 	 0
ABCD4 	 37
ABCE1 	 8
ABCF1 	 0
ABCF2 	 4
ABCF3 	 56
ABCG1 	 0
ABCG2 	 0
ABCG4 	 0
ABCG5 	 3
ABCG8 	 0
ABHD1 	 0
ABHD10 	 0
ABHD11 	 9
ABHD11-AS1 	 0
ABHD12 	 25
ABHD12B 	 0
ABHD13 	 206
ABHD14A 	 6
ABHD14A-ACY1 	 0
ABHD14B 	 0
ABHD15 	 0
ABHD16A 	 0
ABHD16B 	 0
ABHD2 	 7
ABHD3 	 1
ABHD4 	 0
ABHD5 	 5
ABHD6 	 4
ABHD8 	 0
ABI1 	 2
ABI2 	 105
ABI3 	 0
ABI3BP 	 0
ABL1 	 0
ABL2 	 1
ABLIM1 	 17
ABLIM2 	 63
ABLIM3 	 0
ABO 	 0
ABP1 	 0
ABR 	 1
ABRA 	 0
ABT1 	 0
ABTB1 	 3
ABTB2 	 0
ACAA1 	 0
ACAA2 	 0
ACACA 	 28
ACACB 	 3
ACAD10 	 1
ACAD11 	 0
ACAD8 	 0
ACAD9 	 66
ACADL 	 0
ACADM 	 129
ACADS 	 0
ACADSB 	 0
ACADVL 	 17
ACAN 	 0
ACAP1 	 4
ACAP2 	 174
ACAP3 	 0
ACAT1 	 167
ACAT2 	 0
ACBD3 	 0
ACBD4 	 0
ACBD5 	 5
ACBD6 	 8
ACBD7 	 0
ACCN1 	 0
ACCN2 	 0
ACCN3 	 5
ACCN4 	 0
ACCN5 	 0
ACCS 	 0
ACCSL 	 0
ACD 	 0
ACE 	 0
ACE2 	 0
ACER1 	 0
ACER2 	 0
ACER3 	 0
ACHE 	 0
ACIN1 	 1
ACLY 	 0
ACMSD 	 0
ACN9 	 80
ACO1 	 0
ACO2 	 7
ACOT1 	 0
ACOT11 	 0
ACOT12 	 0
ACOT13 	 6
ACOT2 	 0
ACOT4 	 0
ACOT6 	 0
ACOT7 	 27
ACOT8 	 0
ACOT9 	 0
